developer_name;developer_legal_form;developer_address;developer_nip;investment_name;investment_city;investment_address;house_id;house_number;area_m2;garden_m2;parking_spaces_included;status;price_m2_pln;price_total_pln;price_valid_from;last_update
GM Deweloper;Monika Dąbek Grzegorz Okrój S.C.;ul. Lipowa 17, 84-123 Rekowo Górne;5871730000;ZACISZE REKOWO;Rekowo Górne;ul. Bolesława Bork 35, 84-123 Rekowo Górne;DOM-P;P;95.20;47.00;2;dostępny;6292;599000;2025-07-11;2026-04-14
GM Deweloper;Monika Dąbek Grzegorz Okrój S.C.;ul. Lipowa 17, 84-123 Rekowo Górne;5871730000;ZACISZE REKOWO;Rekowo Górne;ul. Bolesława Bork 35, 84-123 Rekowo Górne;DOM-N;N;95.20;45.40;2;dostępny;7027;669000;2025-07-11;2026-04-14
GM Deweloper;Monika Dąbek Grzegorz Okrój S.C.;ul. Lipowa 17, 84-123 Rekowo Górne;5871730000;ZACISZE REKOWO;Rekowo Górne;ul. Bolesława Bork 35, 84-123 Rekowo Górne;DOM-M;M;94.15;45.40;2;dostępny;7106;669000;2025-07-11;2026-04-14
GM Deweloper;Monika Dąbek Grzegorz Okrój S.C.;ul. Lipowa 17, 84-123 Rekowo Górne;5871730000;ZACISZE REKOWO;Rekowo Górne;ul. Bolesława Bork 35, 84-123 Rekowo Górne;DOM-L;L;94.68;45.40;2;dostępny;7066;669000;2025-07-11;2026-04-14
GM Deweloper;Monika Dąbek Grzegorz Okrój S.C.;ul. Lipowa 17, 84-123 Rekowo Górne;5871730000;ZACISZE REKOWO;Rekowo Górne;ul. Bolesława Bork 35, 84-123 Rekowo Górne;DOM-K;K;94.33;45.40;2;dostępny;7092;669000;2025-07-11;2026-04-14
GM Deweloper;Monika Dąbek Grzegorz Okrój S.C.;ul. Lipowa 17, 84-123 Rekowo Górne;5871730000;ZACISZE REKOWO;Rekowo Górne;ul. Bolesława Bork 35, 84-123 Rekowo Górne;DOM-J;J;94.51;45.40;2;dostępny;7079;669000;2025-07-11;2026-04-14
GM Deweloper;Monika Dąbek Grzegorz Okrój S.C.;ul. Lipowa 17, 84-123 Rekowo Górne;5871730000;ZACISZE REKOWO;Rekowo Górne;ul. Bolesława Bork 35, 84-123 Rekowo Górne;DOM-H;H;94.93;45.40;2;dostępny;7047;669000;2025-07-11;2026-04-14
GM Deweloper;Monika Dąbek Grzegorz Okrój S.C.;ul. Lipowa 17, 84-123 Rekowo Górne;5871730000;ZACISZE REKOWO;Rekowo Górne;ul. Bolesława Bork 35, 84-123 Rekowo Górne;DOM-G;G;94.71;218.20;2;dostępny;7549;715000;2025-07-11;2026-04-14
GM Deweloper;Monika Dąbek Grzegorz Okrój S.C.;ul. Lipowa 17, 84-123 Rekowo Górne;5871730000;ZACISZE REKOWO;Rekowo Górne;ul. Bolesława Bork 35, 84-123 Rekowo Górne;DOM-35;35;94.78;112.60;2;zarezerwowany;7269;689000;2025-07-11;2026-04-14
GM Deweloper;Monika Dąbek Grzegorz Okrój S.C.;ul. Lipowa 17, 84-123 Rekowo Górne;5871730000;ZACISZE REKOWO;Rekowo Górne;ul. Bolesława Bork 35, 84-123 Rekowo Górne;DOM-A;A;94.16;45.40;2;dostępny;7105;669000;2025-07-11;2026-04-14
GM Deweloper;Monika Dąbek Grzegorz Okrój S.C.;ul. Lipowa 17, 84-123 Rekowo Górne;5871730000;ZACISZE REKOWO;Rekowo Górne;ul. Bolesława Bork 35, 84-123 Rekowo Górne;DOM-B;B;93.90;45.40;2;dostępny;7125;669000;2025-07-11;2026-04-14
GM Deweloper;Monika Dąbek Grzegorz Okrój S.C.;ul. Lipowa 17, 84-123 Rekowo Górne;5871730000;ZACISZE REKOWO;Rekowo Górne;ul. Bolesława Bork 35, 84-123 Rekowo Górne;DOM-C;C;94.24;45.40;2;dostępny;7099;669000;2025-07-11;2026-04-14
GM Deweloper;Monika Dąbek Grzegorz Okrój S.C.;ul. Lipowa 17, 84-123 Rekowo Górne;5871730000;ZACISZE REKOWO;Rekowo Górne;ul. Bolesława Bork 35, 84-123 Rekowo Górne;DOM-D;D;94.67;45.40;2;dostępny;7067;669000;2025-07-11;2026-04-14
GM Deweloper;Monika Dąbek Grzegorz Okrój S.C.;ul. Lipowa 17, 84-123 Rekowo Górne;5871730000;ZACISZE REKOWO;Rekowo Górne;ul. Bolesława Bork 35, 84-123 Rekowo Górne;DOM-E;E;94.30;45.40;2;dostępny;7094;669000;2025-07-11;2026-04-14
GM Deweloper;Monika Dąbek Grzegorz Okrój S.C.;ul. Lipowa 17, 84-123 Rekowo Górne;5871730000;ZACISZE REKOWO;Rekowo Górne;ul. Bolesława Bork 35, 84-123 Rekowo Górne;DOM-F;F;94.90;67.70;2;dostępny;7260;689000;2025-07-11;2026-04-14
